message,category,cleaned_message
Reset your password now at https://urgentupdate.co,Spam,reset your password now at https://urgentupdate.co
You've won a prize! Claim now: https://winfreecash.com,Spam,you've won a prize! claim now: https://winfreecash.com
Your package with tracking ID 324441 has been shipped.,Transactional,your package with tracking id 324441 has been shipped.
Urgent: Your account will be blocked. Verify at https://secure-update.cards,Spam,urgent: your account will be blocked. verify at https://secure-update.cards
Reset your password now at https://secure-update.cards,Spam,reset your password now at https://secure-update.cards
Earn money fast! Start today: https://get-rich-fast.biz,Spam,earn money fast! start today: https://get-rich-fast.biz
Your dream vacation awaits! Book at https://trip.com,Promotional,your dream vacation awaits! book at https://trip.com
Your package is waiting. Pay delivery fees at https://secure-update.cards,Spam,your package is waiting. pay delivery fees at https://secure-update.cards
Your payment of ₹7821 was successful.,Transactional,your payment of ₹7821 was successful.
You're selected! Redeem your reward at https://urgentupdate.co,Spam,you're selected! redeem your reward at https://urgentupdate.co
Your package is waiting. Pay delivery fees at https://iphone14winner.com,Spam,your package is waiting. pay delivery fees at https://iphone14winner.com
Your transaction ID is TXN879387. Please keep it for your records.,Transactional,your transaction id is txn879387. please keep it for your records.
Your OTP is 695215. Do not share it with anyone.,Transactional,your otp is 695215. do not share it with anyone.
Find your perfect gift at https://flipkart.com/deals,Promotional,find your perfect gift at https://flipkart.com/deals
Find your perfect gift at https://trip.com,Promotional,find your perfect gift at https://trip.com
Final notice. Update your info: https://secure-update.cards,Spam,final notice. update your info: https://secure-update.cards
Urgent: Your account will be blocked. Verify at https://fakewebsite.com,Spam,urgent: your account will be blocked. verify at https://fakewebsite.com
Your package with tracking ID 691080 has been shipped.,Transactional,your package with tracking id 691080 has been shipped.
Enjoy 30% off on all products. Shop now at https://trip.com,Promotional,enjoy 30% off on all products. shop now at https://trip.com
Your payment of ₹3838 was successful.,Transactional,your payment of ₹3838 was successful.
Earn money fast! Start today: https://secure-update.cards,Spam,earn money fast! start today: https://secure-update.cards
Final notice. Update your info: https://get-rich-fast.biz,Spam,final notice. update your info: https://get-rich-fast.biz
Your payment of ₹2899 was successful.,Transactional,your payment of ₹2899 was successful.
Exclusive deals available here: https://trip.com,Promotional,exclusive deals available here: https://trip.com
Final notice. Update your info: https://get-rich-fast.biz,Spam,final notice. update your info: https://get-rich-fast.biz
Final notice. Update your info: https://verify-now.online,Spam,final notice. update your info: https://verify-now.online
Your package with tracking ID 352508 has been shipped.,Transactional,your package with tracking id 352508 has been shipped.
Your OTP is 276818. Do not share it with anyone.,Transactional,your otp is 276818. do not share it with anyone.
Check out our latest deals at https://secure.bankportal.in/login,Promotional,check out our latest deals at https://secure.bankportal.in/login
Your OTP is 980474. Do not share it with anyone.,Transactional,your otp is 980474. do not share it with anyone.
Your package with tracking ID 200186 has been shipped.,Transactional,your package with tracking id 200186 has been shipped.
Your package is waiting. Pay delivery fees at https://login-now-security.xyz,Spam,your package is waiting. pay delivery fees at https://login-now-security.xyz
Get free recharge. Click here: https://iphone14winner.com,Spam,get free recharge. click here: https://iphone14winner.com
Limited time offer! Visit https://amazon.in/sale to grab your discount,Promotional,limited time offer! visit https://amazon.in/sale to grab your discount
Your OTP is 814324. Do not share it with anyone.,Transactional,your otp is 814324. do not share it with anyone.
Your package with tracking ID 583897 has been shipped.,Transactional,your package with tracking id 583897 has been shipped.
Your payment of ₹2203 was successful.,Transactional,your payment of ₹2203 was successful.
Your OTP is 142809. Do not share it with anyone.,Transactional,your otp is 142809. do not share it with anyone.
Your dream vacation awaits! Book at https://cleartrip.com,Promotional,your dream vacation awaits! book at https://cleartrip.com
Your package with tracking ID 604277 has been shipped.,Transactional,your package with tracking id 604277 has been shipped.
Your OTP is 112156. Do not share it with anyone.,Transactional,your otp is 112156. do not share it with anyone.
Your transaction ID is TXN636059. Please keep it for your records.,Transactional,your transaction id is txn636059. please keep it for your records.
Earn money fast! Start today: https://fakewebsite.com,Spam,earn money fast! start today: https://fakewebsite.com
Find your perfect gift at https://cleartrip.com,Promotional,find your perfect gift at https://cleartrip.com
Your payment of ₹2097 was successful.,Transactional,your payment of ₹2097 was successful.
Your payment of ₹3675 was successful.,Transactional,your payment of ₹3675 was successful.
Your package with tracking ID 673480 has been shipped.,Transactional,your package with tracking id 673480 has been shipped.
Your dream vacation awaits! Book at https://merchant-site.com/receipt,Promotional,your dream vacation awaits! book at https://merchant-site.com/receipt
You're selected! Redeem your reward at https://fakewebsite.com,Spam,you're selected! redeem your reward at https://fakewebsite.com
Your OTP is 849054. Do not share it with anyone.,Transactional,your otp is 849054. do not share it with anyone.
Your OTP is 754726. Do not share it with anyone.,Transactional,your otp is 754726. do not share it with anyone.
Check out our latest deals at https://merchant-site.com/receipt,Promotional,check out our latest deals at https://merchant-site.com/receipt
Your package with tracking ID 554924 has been shipped.,Transactional,your package with tracking id 554924 has been shipped.
You're selected! Redeem your reward at https://verify-now.online,Spam,you're selected! redeem your reward at https://verify-now.online
Your OTP is 344321. Do not share it with anyone.,Transactional,your otp is 344321. do not share it with anyone.
Introducing our new range. Learn more: https://merchant-site.com/receipt,Promotional,introducing our new range. learn more: https://merchant-site.com/receipt
Urgent: Your account will be blocked. Verify at https://netflix-support.com,Spam,urgent: your account will be blocked. verify at https://netflix-support.com
Exclusive deals available here: https://trip.com,Promotional,exclusive deals available here: https://trip.com
Your dream vacation awaits! Book at https://flipkart.com/deals,Promotional,your dream vacation awaits! book at https://flipkart.com/deals
Your OTP is 450318. Do not share it with anyone.,Transactional,your otp is 450318. do not share it with anyone.
Confirm your payment details: https://iphone14winner.com,Spam,confirm your payment details: https://iphone14winner.com
Your transaction ID is TXN867529. Please keep it for your records.,Transactional,your transaction id is txn867529. please keep it for your records.
Reset your password now at https://iphone14winner.com,Spam,reset your password now at https://iphone14winner.com
Visit our store: https://www.myntra.com for more details,Promotional,visit our store: https://www.myntra.com for more details
Your package with tracking ID 496428 has been shipped.,Transactional,your package with tracking id 496428 has been shipped.
Your package with tracking ID 608191 has been shipped.,Transactional,your package with tracking id 608191 has been shipped.
Final notice. Update your info: https://login-now-security.xyz,Spam,final notice. update your info: https://login-now-security.xyz
Urgent: Your account will be blocked. Verify at https://winfreecash.com,Spam,urgent: your account will be blocked. verify at https://winfreecash.com
Visit our store: https://www.myntra.com for more details,Promotional,visit our store: https://www.myntra.com for more details
Your transaction ID is TXN109244. Please keep it for your records.,Transactional,your transaction id is txn109244. please keep it for your records.
Click here to win an iPhone: https://login-now-security.xyz,Spam,click here to win an iphone: https://login-now-security.xyz
You've won a prize! Claim now: https://login-now-security.xyz,Spam,you've won a prize! claim now: https://login-now-security.xyz
Enjoy 30% off on all products. Shop now at https://cleartrip.com,Promotional,enjoy 30% off on all products. shop now at https://cleartrip.com
Click here to win an iPhone: https://confirm-payee.click,Spam,click here to win an iphone: https://confirm-payee.click
Your payment of ₹5260 was successful.,Transactional,your payment of ₹5260 was successful.
Earn money fast! Start today: https://verify-now.online,Spam,earn money fast! start today: https://verify-now.online
Final notice. Update your info: https://netflix-support.com,Spam,final notice. update your info: https://netflix-support.com
Reset your password now at https://verify-now.online,Spam,reset your password now at https://verify-now.online
Earn money fast! Start today: https://iphone14winner.com,Spam,earn money fast! start today: https://iphone14winner.com
Your OTP is 868947. Do not share it with anyone.,Transactional,your otp is 868947. do not share it with anyone.
Your package with tracking ID 951651 has been shipped.,Transactional,your package with tracking id 951651 has been shipped.
You've won a prize! Claim now: https://iphone14winner.com,Spam,you've won a prize! claim now: https://iphone14winner.com
Your payment of ₹4069 was successful.,Transactional,your payment of ₹4069 was successful.
You're selected! Redeem your reward at https://secure-update.cards,Spam,you're selected! redeem your reward at https://secure-update.cards
Your package is waiting. Pay delivery fees at https://get-rich-fast.biz,Spam,your package is waiting. pay delivery fees at https://get-rich-fast.biz
Your package with tracking ID 926531 has been shipped.,Transactional,your package with tracking id 926531 has been shipped.
Reset your password now at https://secure-update.cards,Spam,reset your password now at https://secure-update.cards
Your package with tracking ID 669255 has been shipped.,Transactional,your package with tracking id 669255 has been shipped.
Don't miss out! Sale ends soon at https://flipkart.com/deals,Promotional,don't miss out! sale ends soon at https://flipkart.com/deals
Your OTP is 874309. Do not share it with anyone.,Transactional,your otp is 874309. do not share it with anyone.
Your dream vacation awaits! Book at https://flipkart.com/deals,Promotional,your dream vacation awaits! book at https://flipkart.com/deals
Click here to win an iPhone: https://winfreecash.com,Spam,click here to win an iphone: https://winfreecash.com
Reset your password now at https://urgentupdate.co,Spam,reset your password now at https://urgentupdate.co
Reset your password now at https://confirm-payee.click,Spam,reset your password now at https://confirm-payee.click
Your transaction ID is TXN940110. Please keep it for your records.,Transactional,your transaction id is txn940110. please keep it for your records.
Your payment of ₹5401 was successful.,Transactional,your payment of ₹5401 was successful.
Reset your password now at https://iphone14winner.com,Spam,reset your password now at https://iphone14winner.com
Your transaction ID is TXN435958. Please keep it for your records.,Transactional,your transaction id is txn435958. please keep it for your records.
Your payment of ₹9781 was successful.,Transactional,your payment of ₹9781 was successful.
Your payment of ₹4527 was successful.,Transactional,your payment of ₹4527 was successful.
Earn money fast! Start today: https://winfreecash.com,Spam,earn money fast! start today: https://winfreecash.com
Final notice. Update your info: https://iphone14winner.com,Spam,final notice. update your info: https://iphone14winner.com
Your dream vacation awaits! Book at https://merchant-site.com/receipt,Promotional,your dream vacation awaits! book at https://merchant-site.com/receipt
Upgrade your plan today: https://cleartrip.com,Promotional,upgrade your plan today: https://cleartrip.com
Your OTP is 846131. Do not share it with anyone.,Transactional,your otp is 846131. do not share it with anyone.
Click here to win an iPhone: https://urgentupdate.co,Spam,click here to win an iphone: https://urgentupdate.co
Your package is waiting. Pay delivery fees at https://urgentupdate.co,Spam,your package is waiting. pay delivery fees at https://urgentupdate.co
Exclusive deals available here: https://www.myntra.com,Promotional,exclusive deals available here: https://www.myntra.com
Check out our latest deals at https://amazon.in/sale,Promotional,check out our latest deals at https://amazon.in/sale
Your payment of ₹5568 was successful.,Transactional,your payment of ₹5568 was successful.
Find your perfect gift at https://bluedart.com/track,Promotional,find your perfect gift at https://bluedart.com/track
Reset your password now at https://urgentupdate.co,Spam,reset your password now at https://urgentupdate.co
Your payment of ₹335 was successful.,Transactional,your payment of ₹335 was successful.
Don't miss out! Sale ends soon at https://merchant-site.com/receipt,Promotional,don't miss out! sale ends soon at https://merchant-site.com/receipt
Your package with tracking ID 708640 has been shipped.,Transactional,your package with tracking id 708640 has been shipped.
Visit our store: https://www.officialstore.com for more details,Promotional,visit our store: https://www.officialstore.com for more details
You've won a prize! Claim now: https://fakewebsite.com,Spam,you've won a prize! claim now: https://fakewebsite.com
Upgrade your plan today: https://trip.com,Promotional,upgrade your plan today: https://trip.com
Your transaction ID is TXN973502. Please keep it for your records.,Transactional,your transaction id is txn973502. please keep it for your records.
Your OTP is 247531. Do not share it with anyone.,Transactional,your otp is 247531. do not share it with anyone.
Check out our latest deals at https://cleartrip.com,Promotional,check out our latest deals at https://cleartrip.com
Check out our latest deals at https://merchant-site.com/receipt,Promotional,check out our latest deals at https://merchant-site.com/receipt
Introducing our new range. Learn more: https://www.airtel.in/recharge,Promotional,introducing our new range. learn more: https://www.airtel.in/recharge
Don't miss out! Sale ends soon at https://flipkart.com/deals,Promotional,don't miss out! sale ends soon at https://flipkart.com/deals
Earn money fast! Start today: https://fakewebsite.com,Spam,earn money fast! start today: https://fakewebsite.com
Your package with tracking ID 735506 has been shipped.,Transactional,your package with tracking id 735506 has been shipped.
Final notice. Update your info: https://urgentupdate.co,Spam,final notice. update your info: https://urgentupdate.co
You've won a prize! Claim now: https://urgentupdate.co,Spam,you've won a prize! claim now: https://urgentupdate.co
Your OTP is 118752. Do not share it with anyone.,Transactional,your otp is 118752. do not share it with anyone.
Upgrade your plan today: https://merchant-site.com/receipt,Promotional,upgrade your plan today: https://merchant-site.com/receipt
Visit our store: https://amazon.in/sale for more details,Promotional,visit our store: https://amazon.in/sale for more details
Upgrade your plan today: https://www.myntra.com,Promotional,upgrade your plan today: https://www.myntra.com
Find your perfect gift at https://trip.com,Promotional,find your perfect gift at https://trip.com
Enjoy 30% off on all products. Shop now at https://merchant-site.com/receipt,Promotional,enjoy 30% off on all products. shop now at https://merchant-site.com/receipt
Your payment of ₹5968 was successful.,Transactional,your payment of ₹5968 was successful.
You've won a prize! Claim now: https://get-rich-fast.biz,Spam,you've won a prize! claim now: https://get-rich-fast.biz
Get free recharge. Click here: https://get-rich-fast.biz,Spam,get free recharge. click here: https://get-rich-fast.biz
Reset your password now at https://winfreecash.com,Spam,reset your password now at https://winfreecash.com
Your package with tracking ID 197311 has been shipped.,Transactional,your package with tracking id 197311 has been shipped.
Your OTP is 183811. Do not share it with anyone.,Transactional,your otp is 183811. do not share it with anyone.
Visit our store: https://bluedart.com/track for more details,Promotional,visit our store: https://bluedart.com/track for more details
Your transaction ID is TXN141252. Please keep it for your records.,Transactional,your transaction id is txn141252. please keep it for your records.
Confirm your payment details: https://secure-update.cards,Spam,confirm your payment details: https://secure-update.cards
Your OTP is 787115. Do not share it with anyone.,Transactional,your otp is 787115. do not share it with anyone.
Introducing our new range. Learn more: https://amazon.in/sale,Promotional,introducing our new range. learn more: https://amazon.in/sale
Your dream vacation awaits! Book at https://www.airtel.in/recharge,Promotional,your dream vacation awaits! book at https://www.airtel.in/recharge
Visit our store: https://secure.bankportal.in/login for more details,Promotional,visit our store: https://secure.bankportal.in/login for more details
Your OTP is 571184. Do not share it with anyone.,Transactional,your otp is 571184. do not share it with anyone.
Get free recharge. Click here: https://iphone14winner.com,Spam,get free recharge. click here: https://iphone14winner.com
Don't miss out! Sale ends soon at https://bluedart.com/track,Promotional,don't miss out! sale ends soon at https://bluedart.com/track
Upgrade your plan today: https://flipkart.com/deals,Promotional,upgrade your plan today: https://flipkart.com/deals
Enjoy 30% off on all products. Shop now at https://flipkart.com/deals,Promotional,enjoy 30% off on all products. shop now at https://flipkart.com/deals
Upgrade your plan today: https://merchant-site.com/receipt,Promotional,upgrade your plan today: https://merchant-site.com/receipt
Your payment of ₹9099 was successful.,Transactional,your payment of ₹9099 was successful.
Get free recharge. Click here: https://confirm-payee.click,Spam,get free recharge. click here: https://confirm-payee.click
Don't miss out! Sale ends soon at https://secure.bankportal.in/login,Promotional,don't miss out! sale ends soon at https://secure.bankportal.in/login
Enjoy 30% off on all products. Shop now at https://www.officialstore.com,Promotional,enjoy 30% off on all products. shop now at https://www.officialstore.com
Your OTP is 128052. Do not share it with anyone.,Transactional,your otp is 128052. do not share it with anyone.
Visit our store: https://secure.bankportal.in/login for more details,Promotional,visit our store: https://secure.bankportal.in/login for more details
Your payment of ₹4208 was successful.,Transactional,your payment of ₹4208 was successful.
Your package with tracking ID 787218 has been shipped.,Transactional,your package with tracking id 787218 has been shipped.
Your transaction ID is TXN749326. Please keep it for your records.,Transactional,your transaction id is txn749326. please keep it for your records.
Reset your password now at https://secure-update.cards,Spam,reset your password now at https://secure-update.cards
Your payment of ₹4108 was successful.,Transactional,your payment of ₹4108 was successful.
Earn money fast! Start today: https://fakewebsite.com,Spam,earn money fast! start today: https://fakewebsite.com
Get free recharge. Click here: https://get-rich-fast.biz,Spam,get free recharge. click here: https://get-rich-fast.biz
Earn money fast! Start today: https://login-now-security.xyz,Spam,earn money fast! start today: https://login-now-security.xyz
Your payment of ₹1559 was successful.,Transactional,your payment of ₹1559 was successful.
Visit our store: https://flipkart.com/deals for more details,Promotional,visit our store: https://flipkart.com/deals for more details
Your transaction ID is TXN327923. Please keep it for your records.,Transactional,your transaction id is txn327923. please keep it for your records.
Get free recharge. Click here: https://netflix-support.com,Spam,get free recharge. click here: https://netflix-support.com
Your package is waiting. Pay delivery fees at https://get-rich-fast.biz,Spam,your package is waiting. pay delivery fees at https://get-rich-fast.biz
Limited time offer! Visit https://www.myntra.com to grab your discount,Promotional,limited time offer! visit https://www.myntra.com to grab your discount
Your package is waiting. Pay delivery fees at https://fakewebsite.com,Spam,your package is waiting. pay delivery fees at https://fakewebsite.com
Your transaction ID is TXN893209. Please keep it for your records.,Transactional,your transaction id is txn893209. please keep it for your records.
Find your perfect gift at https://amazon.in/sale,Promotional,find your perfect gift at https://amazon.in/sale
Visit our store: https://flipkart.com/deals for more details,Promotional,visit our store: https://flipkart.com/deals for more details
Reset your password now at https://get-rich-fast.biz,Spam,reset your password now at https://get-rich-fast.biz
Final notice. Update your info: https://verify-now.online,Spam,final notice. update your info: https://verify-now.online
Your package with tracking ID 220541 has been shipped.,Transactional,your package with tracking id 220541 has been shipped.
Exclusive deals available here: https://bluedart.com/track,Promotional,exclusive deals available here: https://bluedart.com/track
Your package with tracking ID 503716 has been shipped.,Transactional,your package with tracking id 503716 has been shipped.
Your transaction ID is TXN139247. Please keep it for your records.,Transactional,your transaction id is txn139247. please keep it for your records.
Final notice. Update your info: https://netflix-support.com,Spam,final notice. update your info: https://netflix-support.com
Your OTP is 596504. Do not share it with anyone.,Transactional,your otp is 596504. do not share it with anyone.
Visit our store: https://www.officialstore.com for more details,Promotional,visit our store: https://www.officialstore.com for more details
Your OTP is 122402. Do not share it with anyone.,Transactional,your otp is 122402. do not share it with anyone.
Visit our store: https://bluedart.com/track for more details,Promotional,visit our store: https://bluedart.com/track for more details
Your package with tracking ID 120737 has been shipped.,Transactional,your package with tracking id 120737 has been shipped.
Upgrade your plan today: https://trip.com,Promotional,upgrade your plan today: https://trip.com
Earn money fast! Start today: https://login-now-security.xyz,Spam,earn money fast! start today: https://login-now-security.xyz
Upgrade your plan today: https://trip.com,Promotional,upgrade your plan today: https://trip.com
Upgrade your plan today: https://merchant-site.com/receipt,Promotional,upgrade your plan today: https://merchant-site.com/receipt
Your dream vacation awaits! Book at https://amazon.in/sale,Promotional,your dream vacation awaits! book at https://amazon.in/sale
Your package with tracking ID 137153 has been shipped.,Transactional,your package with tracking id 137153 has been shipped.
Your payment of ₹7514 was successful.,Transactional,your payment of ₹7514 was successful.
Your transaction ID is TXN504763. Please keep it for your records.,Transactional,your transaction id is txn504763. please keep it for your records.
Your dream vacation awaits! Book at https://www.myntra.com,Promotional,your dream vacation awaits! book at https://www.myntra.com
You've won a prize! Claim now: https://winfreecash.com,Spam,you've won a prize! claim now: https://winfreecash.com
Your package with tracking ID 688964 has been shipped.,Transactional,your package with tracking id 688964 has been shipped.
Enjoy 30% off on all products. Shop now at https://secure.bankportal.in/login,Promotional,enjoy 30% off on all products. shop now at https://secure.bankportal.in/login
Exclusive deals available here: https://www.officialstore.com,Promotional,exclusive deals available here: https://www.officialstore.com
Click here to win an iPhone: https://login-now-security.xyz,Spam,click here to win an iphone: https://login-now-security.xyz
Your payment of ₹7167 was successful.,Transactional,your payment of ₹7167 was successful.
Don't miss out! Sale ends soon at https://trip.com,Promotional,don't miss out! sale ends soon at https://trip.com
Your payment of ₹167 was successful.,Transactional,your payment of ₹167 was successful.
Visit our store: https://www.airtel.in/recharge for more details,Promotional,visit our store: https://www.airtel.in/recharge for more details
Your payment of ₹9393 was successful.,Transactional,your payment of ₹9393 was successful.
Confirm your payment details: https://confirm-payee.click,Spam,confirm your payment details: https://confirm-payee.click
Urgent: Your account will be blocked. Verify at https://confirm-payee.click,Spam,urgent: your account will be blocked. verify at https://confirm-payee.click
Your payment of ₹3916 was successful.,Transactional,your payment of ₹3916 was successful.
Your OTP is 604210. Do not share it with anyone.,Transactional,your otp is 604210. do not share it with anyone.
Your OTP is 694652. Do not share it with anyone.,Transactional,your otp is 694652. do not share it with anyone.
Your dream vacation awaits! Book at https://trip.com,Promotional,your dream vacation awaits! book at https://trip.com
Your package is waiting. Pay delivery fees at https://secure-update.cards,Spam,your package is waiting. pay delivery fees at https://secure-update.cards
Your payment of ₹7569 was successful.,Transactional,your payment of ₹7569 was successful.
Visit our store: https://trip.com for more details,Promotional,visit our store: https://trip.com for more details
Your transaction ID is TXN374275. Please keep it for your records.,Transactional,your transaction id is txn374275. please keep it for your records.
Urgent: Your account will be blocked. Verify at https://login-now-security.xyz,Spam,urgent: your account will be blocked. verify at https://login-now-security.xyz
Check out our latest deals at https://www.officialstore.com,Promotional,check out our latest deals at https://www.officialstore.com
Confirm your payment details: https://get-rich-fast.biz,Spam,confirm your payment details: https://get-rich-fast.biz
Your payment of ₹8009 was successful.,Transactional,your payment of ₹8009 was successful.
Final notice. Update your info: https://login-now-security.xyz,Spam,final notice. update your info: https://login-now-security.xyz
Your payment of ₹4865 was successful.,Transactional,your payment of ₹4865 was successful.
Exclusive deals available here: https://amazon.in/sale,Promotional,exclusive deals available here: https://amazon.in/sale
Final notice. Update your info: https://netflix-support.com,Spam,final notice. update your info: https://netflix-support.com
Click here to win an iPhone: https://urgentupdate.co,Spam,click here to win an iphone: https://urgentupdate.co
Find your perfect gift at https://www.myntra.com,Promotional,find your perfect gift at https://www.myntra.com
Your payment of ₹2192 was successful.,Transactional,your payment of ₹2192 was successful.
You've won a prize! Claim now: https://login-now-security.xyz,Spam,you've won a prize! claim now: https://login-now-security.xyz
Check out our latest deals at https://merchant-site.com/receipt,Promotional,check out our latest deals at https://merchant-site.com/receipt
Visit our store: https://flipkart.com/deals for more details,Promotional,visit our store: https://flipkart.com/deals for more details
Your payment of ₹3436 was successful.,Transactional,your payment of ₹3436 was successful.
Your transaction ID is TXN568651. Please keep it for your records.,Transactional,your transaction id is txn568651. please keep it for your records.
Upgrade your plan today: https://trip.com,Promotional,upgrade your plan today: https://trip.com
Your transaction ID is TXN830789. Please keep it for your records.,Transactional,your transaction id is txn830789. please keep it for your records.
Check out our latest deals at https://cleartrip.com,Promotional,check out our latest deals at https://cleartrip.com
Urgent: Your account will be blocked. Verify at https://confirm-payee.click,Spam,urgent: your account will be blocked. verify at https://confirm-payee.click
Your package is waiting. Pay delivery fees at https://fakewebsite.com,Spam,your package is waiting. pay delivery fees at https://fakewebsite.com
Confirm your payment details: https://get-rich-fast.biz,Spam,confirm your payment details: https://get-rich-fast.biz
Your payment of ₹4745 was successful.,Transactional,your payment of ₹4745 was successful.
Your package with tracking ID 388626 has been shipped.,Transactional,your package with tracking id 388626 has been shipped.
Thanks for your purchase. View invoice: https://www.myntra.com,Transactional,thanks for your purchase. view invoice: https://www.myntra.com
Click here to win an iPhone: https://winfreecash.com,Spam,click here to win an iphone: https://winfreecash.com
Get free recharge. Click here: https://netflix-support.com,Spam,get free recharge. click here: https://netflix-support.com
Limited time offer! Visit https://www.airtel.in/recharge to grab your discount,Promotional,limited time offer! visit https://www.airtel.in/recharge to grab your discount
Limited time offer! Visit https://amazon.in/sale to grab your discount,Promotional,limited time offer! visit https://amazon.in/sale to grab your discount
Exclusive deals available here: https://www.officialstore.com,Promotional,exclusive deals available here: https://www.officialstore.com
You've won a prize! Claim now: https://urgentupdate.co,Spam,you've won a prize! claim now: https://urgentupdate.co
Get free recharge. Click here: https://secure-update.cards,Spam,get free recharge. click here: https://secure-update.cards
Your package with tracking ID 947342 has been shipped.,Transactional,your package with tracking id 947342 has been shipped.
Reset your password now at https://get-rich-fast.biz,Spam,reset your password now at https://get-rich-fast.biz
Your OTP is 619546. Do not share it with anyone.,Transactional,your otp is 619546. do not share it with anyone.
Your payment of ₹3709 was successful.,Transactional,your payment of ₹3709 was successful.
Limited time offer! Visit https://www.officialstore.com to grab your discount,Promotional,limited time offer! visit https://www.officialstore.com to grab your discount
Your OTP is 558154. Do not share it with anyone.,Transactional,your otp is 558154. do not share it with anyone.
Check out our latest deals at https://www.officialstore.com,Promotional,check out our latest deals at https://www.officialstore.com
Reset your password now at https://urgentupdate.co,Spam,reset your password now at https://urgentupdate.co
Urgent: Your account will be blocked. Verify at https://get-rich-fast.biz,Spam,urgent: your account will be blocked. verify at https://get-rich-fast.biz
Get free recharge. Click here: https://confirm-payee.click,Spam,get free recharge. click here: https://confirm-payee.click
Exclusive deals available here: https://www.airtel.in/recharge,Promotional,exclusive deals available here: https://www.airtel.in/recharge
Reset your password now at https://iphone14winner.com,Spam,reset your password now at https://iphone14winner.com
Your OTP is 634447. Do not share it with anyone.,Transactional,your otp is 634447. do not share it with anyone.
Your transaction ID is TXN528696. Please keep it for your records.,Transactional,your transaction id is txn528696. please keep it for your records.
Your OTP is 222328. Do not share it with anyone.,Transactional,your otp is 222328. do not share it with anyone.
Earn money fast! Start today: https://iphone14winner.com,Spam,earn money fast! start today: https://iphone14winner.com
Find your perfect gift at https://bluedart.com/track,Promotional,find your perfect gift at https://bluedart.com/track
Don't miss out! Sale ends soon at https://www.myntra.com,Promotional,don't miss out! sale ends soon at https://www.myntra.com
Introducing our new range. Learn more: https://flipkart.com/deals,Promotional,introducing our new range. learn more: https://flipkart.com/deals
Check out our latest deals at https://www.myntra.com,Promotional,check out our latest deals at https://www.myntra.com
Your package with tracking ID 268431 has been shipped.,Transactional,your package with tracking id 268431 has been shipped.
Visit our store: https://trip.com for more details,Promotional,visit our store: https://trip.com for more details
Your dream vacation awaits! Book at https://www.officialstore.com,Promotional,your dream vacation awaits! book at https://www.officialstore.com
Urgent: Your account will be blocked. Verify at https://urgentupdate.co,Spam,urgent: your account will be blocked. verify at https://urgentupdate.co
Your OTP is 356194. Do not share it with anyone.,Transactional,your otp is 356194. do not share it with anyone.
You're selected! Redeem your reward at https://urgentupdate.co,Spam,you're selected! redeem your reward at https://urgentupdate.co
Introducing our new range. Learn more: https://www.officialstore.com,Promotional,introducing our new range. learn more: https://www.officialstore.com
Introducing our new range. Learn more: https://bluedart.com/track,Promotional,introducing our new range. learn more: https://bluedart.com/track
Click here to win an iPhone: https://fakewebsite.com,Spam,click here to win an iphone: https://fakewebsite.com
Your transaction ID is TXN134762. Please keep it for your records.,Transactional,your transaction id is txn134762. please keep it for your records.
Your OTP is 636770. Do not share it with anyone.,Transactional,your otp is 636770. do not share it with anyone.
Your transaction ID is TXN427142. Please keep it for your records.,Transactional,your transaction id is txn427142. please keep it for your records.
Find your perfect gift at https://secure.bankportal.in/login,Promotional,find your perfect gift at https://secure.bankportal.in/login
Introducing our new range. Learn more: https://bluedart.com/track,Promotional,introducing our new range. learn more: https://bluedart.com/track
Your payment of ₹4366 was successful.,Transactional,your payment of ₹4366 was successful.
Don't miss out! Sale ends soon at https://bluedart.com/track,Promotional,don't miss out! sale ends soon at https://bluedart.com/track
Your dream vacation awaits! Book at https://www.airtel.in/recharge,Promotional,your dream vacation awaits! book at https://www.airtel.in/recharge
Reset your password now at https://urgentupdate.co,Spam,reset your password now at https://urgentupdate.co
Check out our latest deals at https://trip.com,Promotional,check out our latest deals at https://trip.com
Don't miss out! Sale ends soon at https://flipkart.com/deals,Promotional,don't miss out! sale ends soon at https://flipkart.com/deals
Your package with tracking ID 467728 has been shipped.,Transactional,your package with tracking id 467728 has been shipped.
Don't miss out! Sale ends soon at https://cleartrip.com,Promotional,don't miss out! sale ends soon at https://cleartrip.com
Your transaction ID is TXN253642. Please keep it for your records.,Transactional,your transaction id is txn253642. please keep it for your records.
Find your perfect gift at https://cleartrip.com,Promotional,find your perfect gift at https://cleartrip.com
Your OTP is 711997. Do not share it with anyone.,Transactional,your otp is 711997. do not share it with anyone.
Click here to win an iPhone: https://netflix-support.com,Spam,click here to win an iphone: https://netflix-support.com
Exclusive deals available here: https://flipkart.com/deals,Promotional,exclusive deals available here: https://flipkart.com/deals
Visit our store: https://www.airtel.in/recharge for more details,Promotional,visit our store: https://www.airtel.in/recharge for more details
Your transaction ID is TXN609638. Please keep it for your records.,Transactional,your transaction id is txn609638. please keep it for your records.
Urgent: Your account will be blocked. Verify at https://fakewebsite.com,Spam,urgent: your account will be blocked. verify at https://fakewebsite.com
You're selected! Redeem your reward at https://get-rich-fast.biz,Spam,you're selected! redeem your reward at https://get-rich-fast.biz
Limited time offer! Visit https://flipkart.com/deals to grab your discount,Promotional,limited time offer! visit https://flipkart.com/deals to grab your discount
